sample_id,group,Acetatifactor sp.,Acutalibacteraceae bacterium,Agathobacter,Agathobacter rectalis,Agathobacter rectalis ATCC 33656,Agathobacter sp.,Akkermansia,Akkermansia muciniphila,Akkermansia sp.,Alistipes,Alistipes communis,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes putredinis DSM 17216,Alistipes shahii,Alistipes sp.,Alistipes sp. HGB5,Anaerobutyricum hallii,Anaerostipes,Anaerostipes hadrus,Anaerostipes sp.,Bacilli bacterium,Bacillota,Bacillota bacterium,Bacteria,Bacteriophage sp.,Bacteroidaceae,Bacteroidaceae bacterium,Bacteroidales,Bacteroidales bacterium,Bacteroides,Bacteroides acidifaciens,Bacteroides caccae,Bacteroides caccae ATCC 43185,Bacteroides caecimuris,Bacteroides cellulosilyticus,Bacteroides clarus,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides finegoldii DSM 17565,Bacteroides fragilis,Bacteroides fragilis str. 3397 T10,Bacteroides intestinalis,Bacteroides nordii,Bacteroides ovatus,Bacteroides ovatus ATCC 8483,Bacteroides ovatus SD CMC 3f,Bacteroides salyersiae,Bacteroides sp.,Bacteroides sp. 2_2_4,Bacteroides sp. 3_1_23,Bacteroides sp. 3_1_33FAA,Bacteroides sp. 3_1_40A,Bacteroides sp. 4_1_36,Bacteroides sp. 4_3_47FAA,Bacteroides sp. 9_1_42FAA,Bacteroides sp. D1,Bacteroides sp. D20,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroides uniformis,Bacteroides uniformis ATCC 8492,Bacteroides uniformis CAG:3,Bacteroides uniformis CL03T00C23,Bacteroides uniformis dnLKV2,Bacteroides uniformis str. 3978 T3 i,Bacteroides uniformis str. 3978 T3 ii,Bacteroides xylanisolvens,Bacteroides xylanisolvens SD CC 2a,Bacteroidota,Barnesiella intestinihominis,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Blautia,Blautia faecis,Blautia massiliensis (ex Durand et al. 2017),Blautia obeum,Blautia sp.,Blautia wexlerae,Brotolimicola acetigignens,Campylobacter jejuni,Catenibacterium mitsuokai,Caudoviricetes sp.,Christensenellales bacterium,Clostridia,Clostridia bacterium,Clostridiaceae bacterium,Clostridiales bacterium,Clostridioides difficile,Clostridium sp.,Clostridium sp. AM34-9AC,Collinsella sp.,Coprococcus comes,Coprococcus eutactus,Dialister invisus,Dorea formicigenerans,Dorea longicatena,Dysosmobacter sp.,Dysosmobacter welbionis,Enterocloster bolteae,Enterococcus faecium,Escherichia albertii B156,Eubacteriaceae bacterium CHKCI005,Eubacteriaceae bacterium Marseille-Q4139,Eubacterium ramulus ATCC 29099,Faecalibacillus sp. H12,Faecalibacillus sp. MSK20_93,Faecalibacterium,Faecalibacterium phage FP_Taranis,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii M21/2,Faecalibacterium sp. Marseille-Q4137,Flavobacterium tibetense,Fusibacter tunisiensis,Fusicatenibacter faecihominis,Gelidibacter sp.,Gemella sanguinis,Gemmiger formicilis,Gemmiger gallinarum,Hungatella,Intestinimonas,Lachnoclostridium sp. YL32,Lachnospira hominis,Lachnospira pectinoschiza,Lachnospira sp.,Lacrimispora defluvii,Mediterraneibacter butyricigenes,Mediterraneibacter faecis,Oceanirhabdus seepicola,Odoribacter laneus,Odoribacter sp. N54.MGS-14,Oscillibacter hominis,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20,Pantoea sp.,Parabacteroides chinchillae,Parabacteroides faecalis,Parabacteroides gordonii MS-1 = DSM 23371,Parabacteroides leei,Parabacteroides massiliensis,Parabacteroides provencensis,Parabacteroides segnis,Parabacteroides sp. CH2-D42-20,Paramuribaculum sp.,Phascolarctobacterium succinatutens CAG:287,Phocaeicola,Phocaeicola coprocola,Phocaeicola coprophilus CAG:333,Phocaeicola dorei CL02T12C06,Phocaeicola fibrisolvens,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Phocaeicola salanitronis,Phocaeicola salanitronis DSM 18170,Phocaeicola sp.,Phocaeicola sp. KGMB11183,Phocaeicola vulgatus,Phocaeicola vulgatus CAG:6,Phocaeicola vulgatus CL09T03C04,Phocaeicola vulgatus PC510,Phocaeicola vulgatus dnLKV7,Phocaeicola vulgatus str. 3775 SL(B) 10 (iv),Prevotella pectinovora,Romboutsia sp.,Roseburia amylophila,Roseburia difficilis,Roseburia hominis,Roseburia intestinalis,Roseburia intestinalis M50/1,Roseburia inulinivorans,Roseburia porci,Ruminococcaceae bacterium OttesenSCG-928-L11,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus hominis,Ruminococcus turbiniformis,Segatella,Streptomyces sp. DSM 41524,Subdoligranulum sp. AF14-43,Tannockella kyphosi
SRR6784520,cfs,28882,1463,12018,32742,2712,4082,210099,196002,38271,768843,4359,25899,820216,5435,904,27867,278697,3275,1886,5181,13511,2221,113,32093,7296,207962,26551,304116,21000,1020658,48983,2095018,33058,30094,589,20040,36961,14954,9015,7612,17544,4186,142629,5581,46688,854,115806,8762,7789,10394,700287,7713,4748,1653,10811,34058,11181,2385,7396,42693,12315,266916,7491,1345545,146434,7158,10053,29250,6461,11137,113945,10776,18846,27763,5092,2065,18897,1044,1830,1958,4965,12955,59246,984,24256,64514,1744,106156,9904,7997,24187,5771,39797,17901,367,5657,627,890,1212,2984,5778,6840,6826,1884,25717,16538,5056,5172,20582,3553,1112,73623,3488,23343,1906,11764,11126,1997,550,3397,525,2429,2802,32118,2751,387,28569,52691,15727,421,1993,718,176,4119,8891,35196,30058,12897,126027,4802,5302,34956,5644,5512,2058,1575,1260,518731,3779,8464,104836,9702,4302,20647,7206,24809,470015,19264,2158,27408,4047,4470,10497,5564,15851,2444,3350,12967,4482,1127,5094,795,3845,1384,8328,10386,14152,2230,796,965,5892
SRR6784538,cfs,1503,795,27549,53467,5951,10123,653,4699,411,2139386,7824,115075,642505,131914,20825,67523,509150,13068,13219,4927,14791,4488,4390,62925,10336,345682,110759,671425,27608,1482970,29623,4902524,20421,137279,19670,10595,35678,2609,6232,9364,13040,8272,203324,8153,32638,722380,460312,89072,24105,23886,256613,31330,24757,77388,13691,73084,19795,122495,3179,74943,22980,536100,21813,1317437,268204,11908,23442,23958,34453,83849,102201,9294,22713,8541,4421,5987,965548,3055,13390,19011,358043,27230,2433,6824,46603,159381,650,119831,10151,3829,33136,43857,18328,726,10286,18221,5835,3520,2160,7525,33908,33947,113196,12777,1005002,22965,5558,7753,6826,1230,1024,21765,530,8809,595,41080,22936,3304,625,3641,427,3498,5873,2409,5782,1197,99215,78584,1970,3309,75881,100,78,6022,36080,148545,21878,8737,36037,4479,10287,36267,7180,6353,9352,728,3518,1227474,3146,4538,6333074,451560,5561,5781,12062,95756,573801,17315,4072,25149,2675,3318,5259,4927,30729,16749,26023,23622,11309,1723,9731,1435,8499,320897,482251,108770,81637,17555,1687,1274,10285
SRR6784530,cfs,1118,3081,2036,39003,975,7285,3597361,5612002,413954,985721,479040,28017,29800,299423,45377,87146,245682,2399,2708,15899,42107,6682,1148,108367,264516,339104,377009,502657,3477,1627914,19992,3044775,39040,2092109,248025,9126,82226,3510,10989,11208,26892,12687,163488,6636,352159,12367,120243,3592,6418,9434,140032,19364,1789,5065,25004,27482,23192,5054,6259,22212,19190,122894,5318,508477,114027,4885,8505,9219,7540,14621,74358,5969,15393,533284,15848,4236,55985,7697,10942,6330,13511,29193,1513,3471,15204,494986,76734,124990,39331,21514,313784,30680,11913,233,1402,7987,2024,41516,2398,15873,113451,83511,7634,5787,93643,190633,12756,16617,56441,3665,13055,115325,1043,55535,2282,187037,6096,757,20284,17824,44427,74907,8982,194426,164249,13071,33149,25623,3140,1497,5479,80098,11024,200910,118477,468694,475321,181908,60370,10815,15457,105936,13235,19381,4021,3088,5141,1177287,4162,6381,203856,29992,82807,4631,10664,55404,916053,38090,4521,50504,9067,9040,16458,13303,47873,30847,50111,11396,50741,5611,5286,1123,10264,91008,408272,59229,15566,6432,22893,9614,15034
SRR6784537,cfs,566,3690,44382,86166,8848,12260,480860,62678,561097,2009521,10671,3459467,168570,10292,2896,41317,144823,181708,1878,370,2989,1619,4737,103804,74851,261662,518231,83668,1137,800158,6919,1565906,11885,37634,1854,36364,20495,5094,12296,8765,2829,4658,2092940,6754,8873,1592,105288,10441,8958,4484,64053,5789,5497,10106,3536,4058,3697,1048,1401,736,763919,615670,12204,38067,2243,161,148,1005,3253,385,34542,2304,1874,7295,7920,1512,271755,3215,3023,9106,61832,115361,1394,1345,525,341752,9235,150092,777770,27609,232526,42806,1373663,450,1179,11995,2187,16513,3126,9705,19218,12227,11852,19550,448753,65990,30814,10583,8739,2477,2706,27957,326,12761,1067,121269,112937,22432,946,8706,1055,15167,8620,119737,7522,1183,171419,72060,1575,21462,10745,647,564,3053,35351,225719,339948,33770,14268,12419,10010,17517,607,6162,501,409,3950,29618,1595,14665,55259,12420,5202,1905,393,2990,55090,673,85,861,187,113,494,285,13422,7156,13135,2556,7852,1919,4897,574,3847,694571,864226,453638,455279,4118,4524,2768,29536
SRR6784549,cfs,114538,90323,404426,806464,82573,115200,210496,282321,73072,1040959,255148,39435,1171243,16352,3081,39614,390666,5416,12850,13907,39853,9608,20511,237073,204375,848646,81070,954813,7316,2919152,15461,11039964,39337,36384,1429,37971,263393,8579,14620,260731,64738,25361,571357,12123,59470,29564,662566,131869,47851,13711,1028994,62934,69522,9406,43897,149654,31904,16479,23483,157123,1353974,264708,21199,4367924,622824,31060,31416,297107,45737,86401,195559,25730,42658,9877,15090,11081,36975,9953,9795,24352,29052,55952,243271,16566,112459,328168,18237,496812,410827,48291,410407,57272,453318,79774,4032,36211,9133,8841,11805,16317,16304,17850,11401,11003,125648,93864,15104,214850,252057,76395,7174,336499,5713,352324,38109,93152,187097,38544,8081,38168,5815,24635,21495,11987,20855,195861,359891,344210,64182,9033,13019,80314,9793,162041,23707,101061,689141,177713,121430,28083,3795585,90413,24218,27263,3423,1907,12466,1923413,7353,29484,352900,41667,22739,8689,27398,99631,1639403,68294,7902,86322,12669,11039,21039,19921,21477,13749,20027,105998,28982,17513,38844,10553,37128,96368,55973,208705,17959,3672,4450,14408,35842
SRR6784409,cfs,1625,45322,429031,675213,77845,115821,1210,4446,483,298834,64734,20544,121111,35390,3019,7613,93581,5874,12143,7025,20740,2861,362,58827,17300,473876,581386,999711,2587,2118862,367084,4818615,18639,36841,1436,15974,22152,1507,6041,295306,25480,24238,115368,11642,12881,1461,838569,177292,62842,7747,274606,42518,58926,13205,81810,795,47350,9359,15961,956,19369,210101,8690,127075,6861,393,385,162,2716,959,190009,15068,22807,7208,9576,1031,36028,3030,12605,4498,8078,34499,3698,3337,540,233127,1394,122465,214861,172710,93289,17120,181829,964,5015,18794,2830,3727,3839,13765,728,445,7055,5919,90142,20638,6620,46247,8029,1674,1318,35425,453,9190,961,10423,27827,2060,2764,3102,5293,9259,17362,2293,7799,1365,101486,35452,2120,942,6335,1025,167,8965,2857,4096,156348,14984,57497,8548,8687,45024,14847,7998,2321,942,6538,3619052,12007,57485,477064,63369,18639,6727,31224,145590,2907502,147809,14038,183706,25475,23988,42585,38419,85021,64689,102304,15231,35890,6250,18218,2588,20932,490254,378403,129266,4130,31990,4064,1053,9019
SRR6784527,cfs,534,3169,7661,20207,2085,3550,18584,24149,14982,308613,6096,24208,9922,251444,44711,7831,92546,3611,3160,386,2502,917,1000,59034,56572,606970,139720,1319478,2928,3964186,6813,7863848,25485,74753,2466,23574,39247,15943,19455,18125,32345,17503,276073,25362,35012,8985,391978,30452,18747,17409,373252,23118,13495,6926,42274,101978,42953,13139,47006,82025,3403619,206843,11577,1920483,861143,21634,26813,35776,29636,58041,530014,32471,85901,24972,10090,13254,109740,1978,2405,7167,10671,68225,1547,5634,63877,272395,25180,88677,11256,35071,62138,19058,85972,351,1204,19120,1831,2464,1881,4826,34793,39705,17178,3824,89011,103946,8262,6473,6533,583,2378,27205,422,10382,276,50295,9545,697,81697,258428,24284,107806,8010,12913,7507,775,133682,185043,1829,749,5570,1321,491,45208,65700,191493,122915,456484,137684,10669,31278,458673,73679,63823,9991,6413,9402,2002482,6750,47317,335629,37640,355230,19244,13089,120243,1617361,69189,6590,81155,14287,8949,25439,20586,20471,3921,6455,198355,6749,1559,4891,1152,14154,78334,84215,39058,16155,24705,44205,58033,9011
SRR6784557,cfs,4716,122323,10185,30671,5234,4936,2634808,605891,161094,4823199,322975,893335,579282,955054,125233,1024602,1312875,58802,2737,400,2854,669,1587,76400,1834381,135086,67222,186550,606,670911,3684,923182,3828,18528,1933,3270,12600,3059,7959,2946,6916,6246,48664,1261,9215,1572,72081,1313,759,4404,61633,795,625,1557,4183,18090,3479,5421,750,33308,10715,50486,5631,419663,91250,6976,6667,8929,9404,10041,20448,1102,7035,302655,3096,3661,9908,2679,1897,3760,50688,15443,8874,1183,16734,319949,12810,119060,186813,14643,1810370,35384,88088,2500,9610,9875,4832,4901,2560,8020,65828,91230,8009,2460,76886,189370,17223,32523,269856,16264,45387,677765,14488,512777,6472,82996,82292,17946,128542,220644,106139,223724,18427,951994,1294,248,98372,216256,5187,2834,2284,4503,872,21696,258136,456197,2676965,217059,48084,5788,8220,159034,18259,29349,3344,2223,6422,54978,1813,4062,56006,2996,3235,3419,957,6495,113337,1371,297,1637,806,167,936,653,8482,1427,2885,13314,4447,1397,5536,3585,3092,82223,29150,85168,107525,2837,77985,51496,20152
SRR6784547,cfs,3830,1265,16686,32148,3700,4454,69635,18085,4336,158868,6671,103860,30922,4662,516,49088,38854,8594,679,11776,26638,4507,4932,23553,35050,56826,19311,78070,632,270287,5389,190258,3469,15753,1580,2774,44827,2327,78416,1999,2741,1105,16962,336,15638,1846,14390,1171,379,1476,17485,531,837,834,10252,934,4870,1280,568,788,43308,71472,2195,28809,3363,263,580,487,676,921,7720,602,12994,83106,3046,313,21209,1063,1243,1339,4962,17035,7202,576,707,85646,198367,37996,52464,2470,361774,10669,151291,2497,438,3494,1067,1296,858,1646,1366,852,1662,1870,10300,18808,190485,13514,7610,584,923,27686,1105,7930,283,8300,17617,3781,3237,2421,6571,10793,1144,8401,45076,4368,31999,17833,2573,421,1476,20854,3807,50735,3314,5997,61004,96284,24100,2114,10014,7224,883,3866,650,1666,2144,289729,332,1717,43352,4502,63691,825,2047,11744,201437,8015,1014,11463,1949,1381,2786,2982,14358,3517,4767,11088,13793,1480,2152,313,2460,737,6144,13231,2952,386,21434,835,8072
SRR6784539,cfs,830,3044,11099,134800,6283,234166,15453,26098,2788,669411,18140,16098,6954,492549,68985,5254,146893,1279,137907,36424,95806,15297,12892,383918,239792,688430,827946,783304,2212,2025289,4654,2934980,17638,143778,18885,9662,82601,5955,21550,9749,20387,15865,166313,6487,22969,4402,388477,53380,33572,17668,223355,28226,25703,7547,36516,9885,32797,7268,8139,19026,1043645,322484,15288,419697,53052,4210,5869,6311,3436,9109,117238,10679,20058,9670,22783,3887,1529003,18016,106121,74540,227733,1061103,4100,7945,7875,513932,8914,721443,28745,869598,113713,87258,379723,5712,28196,385827,33692,1752929,24309,968599,11258,15938,304748,25113,74328,34234,14396,86311,4014,1527,10986,41525,957,7954,1310,44923,394221,64183,600,6794,2689,3651,25491,6303,22701,74702,929108,205264,11668,11495,99091,678,219,13144,20576,90079,37572,269555,115369,3651,16047,106539,9958,18896,6738,4341,34080,1610601,1881,13823,269666,34389,134802,14650,11386,64064,1377208,50495,5565,70455,8965,9173,19022,34518,19665,1115719,2361957,31449,19555,11021,23129,5829,263484,6106,33793,146406,103073,5457,1578,1849,31661
SRR6784521,cfs,2951,2380,382181,689630,71429,95406,566,6768,487,557840,8835,21223,48733,283752,43056,40903,151271,7847,10643,790,4687,1058,24277,103227,118995,843429,150064,1670772,5655,4397509,10101,6261199,44054,357300,44107,19339,193636,24869,28645,21565,29684,21198,110636,17029,54955,7322,761352,252330,53183,18722,391003,28012,49924,18804,122984,44521,93781,15156,15604,31421,1635773,553531,15213,974848,145671,11590,19290,15078,16506,28771,274640,35207,90658,13074,7468,4781,57339,3669,7807,7137,12256,37679,4693,4619,35312,155907,2794,118862,16241,29426,114384,35098,15193,1435,7466,51224,2486,22021,4222,37504,78136,113576,8662,11823,1532050,67226,8753,79592,83680,36619,2992,121855,2178,117318,13372,67042,27742,4139,7991,17998,10274,36509,5081,4037,12743,59066,83572,38833,2525,2388,7520,114,273,15823,108426,461429,225208,149873,152589,10218,22757,188304,23940,32214,24976,3336,6349,4557747,12530,75844,771001,192727,29213,20715,34203,209490,3825832,183221,22067,230439,32590,39946,68975,62200,131582,18011,19502,49471,31166,4323,20099,4895,13940,144463,30481,116467,11500,41267,7100,7418,31816
SRR6784550,cfs,909,1786,299,8823,255,7027,24985,25415,4871,43097,2735,5885,18739,5966,913,11838,18844,4567,6000,4779,13559,2055,110,16450,7387,603771,73966,1047782,10038,2508985,46724,4366625,23304,224824,29768,10855,183320,6820,10342,130325,23454,16808,146443,4173,27655,62467,172059,8644,4552,19442,293775,7362,6537,10229,78224,26480,53773,11494,13832,18958,3334486,251180,7533,618926,206805,5615,7436,8611,7624,13836,89789,3079,22977,11144,5685,3789,50377,632,642,2315,4146,32495,2006,4297,14698,90563,1387,24224,5516,165608,22234,6040,65266,512,223,1948,527,1063,815,1543,10662,14377,17944,4264,82027,9600,14948,2609,686,122,463,4712,54,2652,169,11060,3974,293,33,1056,98,415,2032,3671,1598,770,12428,19869,1241,658,2601,42373,5958,100684,16226,72733,13099,422307,101111,11984,28622,531003,60256,67202,23138,1887,10856,3574021,23758,65616,552997,79787,743266,18407,49358,148204,2433945,113567,12714,170027,21345,17545,37972,32417,29730,31242,56543,1773,1208,470,965,195,6898,547,856,5297,5412,11357,316,535,2931
SRR6784519,cfs,12787,1351,2119,40850,1601,44890,4781,2895,722,223772,21058,10394,10552,8544,846,109899,95757,1901,2250,2853,8288,1373,1051,55726,51553,126231,453208,425937,14216,848854,8820,3903398,23083,94312,14735,11655,74434,228610,4341,3724,15171,5386,46799,13512,529265,17253,275052,65169,16506,934406,240485,11772,15599,22324,21873,52783,14550,10961,10815,54925,21788,182834,5349,1055404,254949,9835,20700,18552,13884,31147,160566,15594,12729,747330,4395,6155,25057,4837,5947,4898,9219,19593,22296,4145,30049,165303,1700,122668,11431,6121,55318,11584,53283,7184,2305,13776,3172,60241,3765,5637,3956,4601,3982,2867,39770,21703,2649,58276,109879,6678,13623,289934,4469,101796,3319,9514,23982,5184,3944,13838,1353,5977,5286,10814,16748,2348,114506,215345,7409,979,3424,68421,8461,140837,57041,28134,139002,365978,108454,12270,131163,26864,5381,16738,2171,6159,1895,1409835,9638,24309,1085981,81000,743578,4485,24320,68828,849894,29598,4183,45168,7848,4671,10929,10368,14200,157325,264049,38184,9400,3968,53372,8108,57123,66529,42583,41925,5573,3513,2313,3681,11418
SRR24907926,cfs,11450,590,132137,165635,19529,48533,115,1232,168,152972,1522,3180,26766,64946,10377,5438,58517,1997,1670,227,3417,980,374,21470,9803,339914,41204,638476,15061,1024959,5253,322023,8676,49598,4311,5009,8536,7718,125287,3308,84329,37822,25203,1226,5637,2456,49812,4181,806,5345,83679,2551,792,3478,13985,6817,13165,4580,2256,2374,141595,48200,2944,102607,14174,1030,1060,994,860,1878,34217,1500,11784,376511,1671,1150,4343,2128,1040,1690,5450,9602,22401,6907,1780,60822,605,51408,6814,2010,15390,5278,14351,3906,570,3923,1186,780,1511,1946,2864,3979,2231,3538,35955,7678,1338,13036,69220,19046,1579,76325,1033,63545,12395,7113,24299,3907,24,1935,820,718,727,1180,2802,318,65019,41939,2825,2738,1379,0,25,3993,6897,11634,32506,122875,63597,4122,2257,60598,10668,19247,9081,4127,152431,450780,91606,11118,115952,25013,79736,364419,6800,26680,405639,16053,4203,24358,3346,5112,6782,7678,10553,68083,115729,3816,18103,2376,30226,3825,21365,32048,90408,29583,1540,1743,573,363,2565
SRR24907940,cfs,1806,306,17666,24015,2915,4649,38,303,87,263,320,378,1220,640,179,184,1635,510,389,14,429,130,64,4195,2327,79053,6344,105028,9247,300887,4490,502223,4908,75307,7941,2211,3130,299,1293,1494,3309,2227,47489,1577,1967,634,80270,12284,3222,11851,65693,2541,1337,1091,9516,3005,7435,1135,530,4624,33573,19103,328,85130,12291,1118,1686,1927,423,2316,17660,1635,4551,421,1853,1016,3586,237,288,253,1321,2879,3802,2084,2900,18809,155,9528,893,585,6027,437,3803,622,96,526,178,21498,247,435,1147,1737,351,755,22719,4460,443,2786,10751,2196,447,13823,226,7340,1475,4681,1652,193,986,870,957,3098,203,477,6011,1409,4643,4466,480,218,547,0,8,2586,2147,4438,7562,530,9781,1875,350,2037,338,1492,969,195,564,292596,219,4258,26133,4780,1709,574,4160,16050,268835,12339,2192,22805,2405,5798,6773,4352,197818,1088,1608,262,265,123,1519,168,371,12,414,1730,247,2843404,713,161,392
SRR24907818,cfs,1565,61659,7545,26188,1841,3446,2282599,69865,82891,1614863,5257,1633421,45538,20611,1071,150287,430899,137994,4784,39,6654,1233,60948,94702,1333653,169757,429532,199943,1612,672984,17637,812608,13923,470438,47493,8288,674903,3796,4699,3117,5931,2523,20524,1307,71083,2126,41539,1894,1007,3377,77562,1479,1365,2638,26898,667,19726,3401,1112,220,13694,41858,1875,28424,279,62,58,351,69,28,21596,1138,28708,874359,4974,272,5634,3823,6895,3599,5907,11459,4034,1894,545,627703,10320,140684,559962,8660,1565908,21431,1094356,458,3000,6576,3579,151463,3197,4966,9059,14690,3066,14416,68287,71658,91326,35597,67225,5867,3640,185717,1677,68689,4151,51104,18946,956,4917,15375,6241,19773,4255,114306,22171,19468,34102,43882,1650,3165,3726,39,1972,13857,33246,112306,2339904,287023,16025,16923,5154,315558,65039,21790,3097,407,3433,871153,1356,1904,78684,17192,3933,3494,13200,43835,781335,33706,8305,61725,5569,12964,17389,14322,18956,3719,12127,17996,2684,561,2812,1699,3078,14766,43379,52718,59284,4749,4176,9999,16672
SRR24907936,cfs,1104,897,368,23126,876,2368,99823,40555,28712,204124,50587,170691,25189,14077,1227,9890,41970,16622,1814,8666,70629,8773,2776,39289,18386,803693,60407,758664,3385,1600484,12939,1761139,15967,17824,557,5449,15155,8951,4762,8063,13893,3950,77878,2259,10543,3711,187476,72262,7880,15244,178317,13790,6116,7535,154281,18872,111155,7468,5295,18235,25921,478176,19257,580814,71483,6460,9660,14350,3926,8688,61895,4349,30185,8300,5253,3109,11428,2097,1566,3894,6778,15492,2789,14907,22735,250215,2584,74258,4880,13524,38002,40657,40571,390,2435,4330,1409,26586,3591,4277,26420,32773,2843,6217,144137,36154,3007,47767,61299,12883,2739,105615,920,66232,17704,28590,11314,861,15655,39529,7845,27795,2909,4733,7320,94943,36417,24806,401,15022,4336,7577,9219,59949,45029,81236,58235,943102,398545,11486,2470,16556,448,75415,16454,86534,5618,2151496,1802,18796,207022,43599,10585,3122,35857,137437,1957465,84652,21271,118013,17739,26040,45126,43437,15489,5907,5708,24978,19026,2180,4691,1330,3583,245,4991,10749,4542,1502,8072,6895,5994
SRR24908017,cfs,2496,1605,1107554,1297961,157969,275648,250,3792,311,954954,300959,222596,17275,439570,92978,10684,239963,23898,15113,7828,63935,11017,28,167710,29995,720394,278874,736365,4102,2409846,80196,5237022,35270,31799,2124,23374,27997,29634,15110,14295,29224,15706,101072,18160,20221,7261,511217,152758,28793,24987,317745,17048,18842,7426,60273,38633,50502,11746,13083,37187,1259639,122365,4986,977831,146056,12253,15507,18825,9989,20883,361807,29694,57168,12192,5534,6336,119300,7395,15232,10707,57798,117748,6004,25509,34595,350805,3672,232569,33862,39771,113272,46361,155044,687,5640,17405,11966,6110,10370,11479,14904,17889,12278,5930,152269,112050,19852,525594,324537,30128,53027,850297,4986,324588,45593,81634,207029,23945,31476,32706,37980,102715,7480,14059,74348,523501,391566,157633,1100,11871,12371,6,290,10146,27296,54023,186109,448456,136657,7621,8527,310250,48009,64010,40699,6805,29031,2424200,7253,57641,178531,39210,997330,14499,32285,108210,1901007,93316,18692,138346,19729,21983,35182,38378,25442,273454,527211,80760,227194,17906,14855,2661,68029,972,7792,45203,4212,7699,26125,10893,15752
SRR24907840,cfs,31,13,132,3907,219,3399,3,52,58,96,34,399,31,679,0,322,495,0,684,4247,28551,4350,261,9494,9019,7267,5023,26897,156,25978,125,1063255,2396,869,52,5,1895,45,243,141,104,191,2885821,10429,1742,215,12425,0,0,29,1545,326,0,0,0,0,0,45,0,79,343,5819,0,4646,2,0,0,0,0,0,7591,0,6,491,1107,5538,233633,317,393,924,48351,5781,343,4987,44,7532,59,16115,5183,23348,15280,3651,25606,18,178,1490,158,428,675,869,4190,9858,4514,1130,4457,5959,3306,3386,121,0,340,2998,7,841,11,75698,1482,3,0,1066,21,595,573,1585,299,5230,11509,20356,73,739,20971,0,29,954,12249,20566,7228,544,1904,0,19,1249,18,1267,3,0,131,440,151,0,2124,2,363,64,142,438,1886,0,0,3,0,0,363,46,788,16733,31589,476,16107,1557,586,164,3825,567,799,2646,983,9,22,64,1233
SRR24907848,cfs,88,958,27,2375,159,251,147246,35345,26502,64831,1217,3035,32925,12117,1819,1878,154939,932,579,0,385,138,106,18296,62426,51204,19399,42953,365,231755,1424,248126,1963,2926,140,1350,1932,480,910,1366,2078,636,15885,486,1412,326,20080,4441,1036,1073,34303,2651,517,698,4343,2360,3278,456,431,4078,3192,35490,2677,78158,8621,1093,1295,1705,624,2268,10807,1159,5823,769,579,739,8589,434,544,746,5383,6880,315,1240,2216,27162,1215,20804,2792,2792,70932,3365,5378,24,1445,879,188,213,918,763,885,1549,1898,1489,14234,5276,1270,2579,707,29,523,3363,36,1368,94,5203,1601,137,8,755,27,459,1249,2944,1880,913,8486,8292,92,995,3663,922,1113,7533,6579,8970,37793,85960,39124,1707,895,35090,4933,15562,4344,3531,662,113374,198,4305,14764,2508,907,1203,2712,7598,120199,5365,1110,7797,1455,1492,2493,2379,1291,464,622,462,2487,919,508,137,229,39252,89355,29421,2973,1297,215,1180,1443
SRR24907857,cfs,3691,10331,159180,202031,24837,40968,155143,15645,8973,459472,1108,235724,20606,7255,1246,15747,73518,63311,5074,2677,23093,3909,489,72227,16003,812798,77611,181694,1945,1473788,2150,5161994,9090,18146,751,4575,25812,1574,14656,15882,7809,5428,67463,1323,17382,3132,60261,40,1581,11510,187376,4202,345,0,932,77213,6811,2022,3466,81190,23353,810287,73118,1939492,252349,26336,51958,60215,23211,46231,23309,2051,28478,1472,634559,14113,29010,3852,3061,2654,16796,40489,7855,30849,68049,362432,3581,107952,40787,15498,138981,9329,52464,1076,5313,7343,2298,179674,2709,11421,17211,31584,7572,1843,53422,179246,13620,21934,229242,52254,6630,429537,3787,169252,32686,119743,46940,8160,77167,231256,47901,187295,2880,6335,37831,10821,96152,44595,1418,7177,6749,0,57,21410,37631,78893,223235,5074,28218,7353,34556,14191,1437,828,4010,8,5681,9864,133,7574,33640,21704,10562,4803,3596,3070,99691,25,0,161,147,148,530,46,17513,9010,20979,2752,12043,1869,3321,1672,2849,4838,11114,37093,8195,13689,45728,41761,13756
