sample_id,group,Acetatifactor sp.,Acutalibacteraceae bacterium,Agathobacter,Agathobacter rectalis,Agathobacter rectalis ATCC 33656,Agathobacter sp.,Akkermansia,Akkermansia muciniphila,Akkermansia sp.,Alistipes,Alistipes communis,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes putredinis DSM 17216,Alistipes senegalensis,Alistipes shahii,Alistipes sp.,Alistipes sp. HGB5,Anaerobutyricum hallii,Anaerostipes hadrus,Bacilli bacterium,Bacillota,Bacillota bacterium,Bacteria,Bacteriophage sp.,Bacteroidaceae,Bacteroidaceae bacterium,Bacteroidales,Bacteroidales bacterium,Bacteroides,Bacteroides acidifaciens,Bacteroides caccae,Bacteroides caccae ATCC 43185,Bacteroides cellulosilyticus,Bacteroides eggerthii,Bacteroides eggerthii 1_2_48FAA,Bacteroides eggerthii DSM 20697,Bacteroides faecis,Bacteroides finegoldii,Bacteroides finegoldii DSM 17565,Bacteroides fragilis,Bacteroides fragilis 3_1_12,Bacteroides intestinalis,Bacteroides ovatus,Bacteroides ovatus ATCC 8483,Bacteroides ovatus SD CMC 3f,Bacteroides salyersiae,Bacteroides sp.,Bacteroides sp. 1_1_30,Bacteroides sp. 2_2_4,Bacteroides sp. 3_1_33FAA,Bacteroides sp. 3_1_40A,Bacteroides sp. 4_1_36,Bacteroides sp. 4_3_47FAA,Bacteroides sp. 9_1_42FAA,Bacteroides sp. D20,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroides uniformis,Bacteroides uniformis ATCC 8492,Bacteroides uniformis CAG:3,Bacteroides uniformis CL03T00C23,Bacteroides uniformis CL03T12C37,Bacteroides uniformis dnLKV2,Bacteroides uniformis str. 3978 T3 ii,Bacteroides xylanisolvens,Bacteroides xylanisolvens SD CC 2a,Bacteroidota,Barnesiella intestinihominis,Barnesiella sp.,Bifidobacterium longum,Blautia,Blautia faecis,Blautia massiliensis (ex Durand et al. 2017),Blautia obeum,Blautia sp.,Blautia wexlerae,Brotocaccenecus cirricatena,Brotolimicola acetigignens,Catenibacterium mitsuokai,Caudoviricetes sp.,Christensenellales bacterium,Clostridia,Clostridia bacterium,Clostridiaceae bacterium,Clostridiales bacterium,Clostridioides difficile,Clostridium sp.,Clostridium sp. AF34-10BH,Clostridium sp. AM34-9AC,Collinsella sp.,Coprococcus,Coprococcus comes,Coprococcus eutactus,Dialister invisus,Dorea formicigenerans,Dorea longicatena,Dysosmobacter sp.,Enterocloster bolteae,Enterococcus faecium,Escherichia albertii B156,Eubacteriaceae bacterium CHKCI005,Eubacteriaceae bacterium Marseille-Q4139,Eubacterium ramulus ATCC 29099,Faecalibacillus sp. H12,Faecalibacillus sp. MSK20_93,Faecalibacterium,Faecalibacterium phage FP_Taranis,Faecalibacterium prausnitzii M21/2,Flavobacterium tibetense,Fusibacter tunisiensis,Gelidibacter sp.,Gemella sanguinis,Gemmiger formicilis,Gemmiger gallinarum,Hungatella,Intestinimonas,Lachnoclostridium sp. YL32,Lachnospira eligens,Lachnospira hominis,Lachnospira pectinoschiza,Lachnospira sp.,Lacrimispora defluvii,Mediterraneibacter butyricigenes,Mediterraneibacter faecis,Oceanirhabdus seepicola,Odoribacter sp. N54.MGS-14,Oscillibacter hominis,Oscillibacter sp. KLE 1728,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20,Oscillospiraceae bacterium NTUH-002-81,Pantoea sp.,Parabacteroides chinchillae,Parabacteroides faecalis,Parabacteroides gordonii MS-1 = DSM 23371,Parabacteroides leei,Parabacteroides massiliensis,Parabacteroides provencensis,Parabacteroides segnis,Paramuribaculum sp.,Phascolarctobacterium succinatutens CAG:287,Phocaeicola,Phocaeicola coprocola,Phocaeicola coprophilus CAG:333,Phocaeicola coprophilus DSM 18228 = JCM 13818,Phocaeicola dorei CL02T00C15,Phocaeicola dorei CL02T12C06,Phocaeicola fibrisolvens,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Phocaeicola salanitronis,Phocaeicola salanitronis DSM 18170,Phocaeicola sp.,Phocaeicola sp. KGMB11183,Phocaeicola vulgatus CAG:6,Phocaeicola vulgatus dnLKV7,Phocaeicola vulgatus str. 3775 SL(B) 10 (iv),Prevotella pectinovora,Romboutsia sp.,Roseburia amylophila,Roseburia difficilis,Roseburia hominis,Roseburia intestinalis,Roseburia intestinalis M50/1,Roseburia inulinivorans,Roseburia porci,Ruminococcaceae bacterium OttesenSCG-928-L11,Ruminococcus albus,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus hominis,Ruminococcus turbiniformis,Segatella,Streptomyces sp. DSM 41524,Streptomyces viridodiastaticus,Subdoligranulum sp. AF14-43,Tannockella kyphosi
SRR6784590,controle,46262,4107,229516,470192,44057,88456,919,22336,2899,1638737,6867,1334726,55508,657532,145027,14994,35964,526206,99700,25099,28230,4694,116503,45905,628105,1934693,1351881,11365,5082216,15721,6311804,51938,1368141,130867,51746,2854428,154771,326694,24356,133462,52717,190368,32807,37768,283593,10132,6577,18882,516444,5262,15030,18643,87452,112251,73792,18267,93294,88128,320436,19811,2678344,360910,32184,36833,18661,36871,59967,182853,8352,107570,17956,6611,11171,46748,5221,8524,14651,23224,44204,19178,66762,66218,1018649,7067,256451,22262,3960,76366,27592,68042,15438,16584,15093,5226,35596,7697,3806,9288,19295,12103,5938,15661,214831,42333,5643,196260,121882,8715,31163,242587,132359,27483,32449,36903,124254,15367,53498,5497,4648,14348,6189,31483,112358,168633,23303,14128,14823,25851,199456,107451,8595,36414,207994,3513,1271051,1000440,26307,21380,797986,137084,366463,19800,16951,3706897,8425,105478,561396,9259,7828,94040,35165,147124,39070,304724,3976974,136177,215357,74143,94866,54567,131777,51690,18339,275836,19418,60619,8423,75506,143695,1519,170965,123666,4459,59545,27639,3693,24401,25637
SRR8556942,controle,470,473,26102,44067,5183,12684,20,603,109,41663,1942,3225,10355,9879,1940,148,1213,7711,166,4068,1638,257,5818,1978,23570,40984,33944,8935,141973,4960,85533,894,82808,2052,4095,879,199,100,2718,4879,1279,4362,108,1964,20083,327,551,953,21810,193,750,246,1465,174,1156,153,150,22989,20992,356,10083,321,39,57,30,25,44,12944,228,3317,15366,8944,1867,7066,462,420,649,2917,5552,64,1020,598,46315,415,11512,548,1127,17108,918,2837,194,87,1873,2763,2765,353,738,406,1860,418,380,509,27801,2172,582,6096,19742,327,3925,38415,13243,674,4194,5924,13190,1648,6580,244,188,522,362,1422,9088,5755,119,1076,378,732,4813,2485,84,991,6165,281,22829,12373,787,985,29504,3066,6290,148,2206,146846,13680,2768,12225,116,314,1087,74184,100289,1035,7909,106982,2683,3674,1166,1215,588663,13850,24762,569,2452,274,5248,540,5115,52,356,501,6919,209,3604848,2860,276,3161,410
ERR912047,controle,3692,140625,331503,354685,27479,60803,981382,2224317,142623,517405,14725,81897,101897,24875,4998,7423,172388,40662,5929,32042,105920,167404,110353,242908,173130,42662,114098,1611,134539,4702,894057,3622,91073,5513,3953,3291,146,389,3922,4374,913,29767,880,2830,73008,760,787,2821,74761,659,1479,1033,277,6929,1267,486,7266,5431,56955,1425,547238,25839,3052,2930,2457,4354,4937,30311,916,4042,10652,4765,15475,15585,2655,2721,14427,7675,16932,21145,6285,5887,108141,24111,110866,1157503,111693,656239,28118,119346,1448,2407,23035,6170,30916,6928,1633,11421,16390,3591,3071,6307,1486550,58690,28477,870655,8415,1637,4348,72915,68277,32304,8443,21201,69397,10750,39483,6488,6231,4644,1497,6759,41684,40412,4925,15074,6814,1589,7765,66526,5711,18126,360012,3794,65902,71953,2425,1358,55503,5630,15105,395,2546,17356,1165,1936,32159,243,778,1944,2283,1979,1373,6346,73152,157,196,305,166,5231,7260,7428,3375,8152,2535,8259,2849,7094,169125,2039,48415,53382,21872,3771,19277,4210,17770,28152
SRR8556986,controle,680,24686,1986,10618,635,1857,136834,339025,28663,236160,15777,8336,17687,41587,8959,1638,32405,49302,391,801,4728,28760,27710,39864,26933,125957,36941,626,94708,29166,235405,2606,59975,4363,12026,1818,561,603,1013,1853,351,5239,278,4541,12293,134,163,516,19044,146,197,1190,1586,2186,756,717,2125,3344,13009,310,98004,5999,816,586,322,558,1271,6041,96,2153,36695,22442,704,12962,4295,1501,4731,6699,6996,3799,1028,932,41553,57789,54336,99319,3042,257574,3865,125058,167,191,2313,8488,10038,1601,1076,1160,3732,4149,1097,5315,10118,10685,37845,35098,22105,684,3537,65167,80641,7668,13513,1375,5905,2107,4070,4577,2735,23539,83,4047,33279,21956,499,5837,2127,4720,20309,27592,6389,7731,266252,338,32621,36743,686,1480,17772,1716,11304,643,809,83355,7169,1370,93276,518,657,6221,1618,2194,1052,9919,89161,2201,2797,864,853,2756,1182,2638,1468,1238,190,2335,383,948,11821,4775,6026,18748,4117,535,3036,430,1860,3016
ERR911995,controle,1050,88653,507247,637248,57534,78999,215608,247373,34455,2433725,34833,246707,96593,755674,127773,18179,556484,1372815,15653,17214,18336,4711,136574,274468,189627,145130,478150,19551,843088,1247721,1086408,26026,25089,376,105281,18103,3666,12244,60267,42582,7707,222508,10700,19015,213045,2560,3555,9915,224032,4228,3248,9965,32067,4359,7818,8062,5131,354382,380740,5728,420486,16758,1645,1371,1248,2798,3111,65987,3022,32861,209201,119221,3093,53945,3959,4745,29247,18565,45397,14065,2827,8910,228251,85815,207506,414562,6005,681457,38948,123995,437,1521,5050,11385,91739,4219,3034,15951,33524,24012,6869,14048,114511,119645,52851,172480,167310,9381,102022,285010,336385,40864,16735,14621,35994,32528,57813,13042,19263,1357996,3208,121270,97202,104920,5844,23935,11349,15845,82556,308998,36831,29474,926213,10855,587743,522801,7871,19356,355666,45628,152067,7288,100354,3462617,8612,2878,981634,4124,3329,40942,2193597,13045,11861,192739,2018721,18387,25354,7775,7689,68158,9424,10956,11125,25098,4737,23680,6636,12378,365813,2027,41373,333116,22837,167892,20886,21741,13924,35192
SRR6784554,controle,2180,1105,63760,106440,10456,69902,439,2124,449,37713,777,86885,3899,4690,405,183,827,16610,4485,8432,38546,889,34974,13357,103767,35576,178634,2939,240295,4850,600246,6146,82301,7897,23984,1373,661,115,2312,8077,3769,19133,121,10737,198530,19342,7208,2801,67370,1981,5168,4874,15820,6785,12288,2980,7736,4715,89645,3233,166682,23021,1862,1811,1348,1248,4213,45310,3181,2209,2732,1056,8901,15523,2322,3671,6057,9709,13610,1220,3990,4484,23894,2598,56067,5998,961,27341,10035,7339,751,1550,2111,11431,31980,1223,1650,2922,8162,834,1180,4969,90662,15180,1841,36268,136277,14840,19595,329460,222100,5049,11168,3866,8996,9223,14300,1769,1038,7510,2715,11720,45265,37714,1549,11850,4374,7916,36766,24268,1513,4357,96226,1137,24678,36790,1724,2309,9544,821,11483,910,3133,756016,1482,6348,275148,2093,1443,22370,83052,2321,9571,75623,761994,27238,42303,12084,13404,4728,166233,248784,3996,23569,2645,140581,18064,85654,25885,1501,30287,25556,915,1885,6573,1583,2664,8281
SRR8556990,controle,1064,5048,657,3511,161,670,18990,55525,6662,249219,90178,20041,27294,28947,2778,3480,65503,48313,859,4135,2489,496,10021,3921,25614,55615,56194,521,98848,3419,445926,1546,3012,37,4955,91249,5566,5056,1485,7963,1763,33039,1437,3534,37372,1246,867,797,40822,596,1445,3726,684,2496,704,2033,5801,69731,15770,301,185285,10868,1077,1163,839,991,2475,33554,978,3787,2998,1462,500017,4107,335,410,612,1675,3484,445,1146,2396,34812,1412,9466,20333,379,20147,1882,19053,243,126,10031,130,757,152,494,285,235,275,283,1593,12075,1831,15411,7146,689,55,321,3637,3286,3595,1010,31,893,190,410,365,579,3249,56,649,3112,4529,250,424,926,1411,6565,1340,308,1175,33307,33,30486,23244,662,3912,31184,3416,8522,275,733,68445,767,666,296789,2279,1790,19570,802,1625,2092,19340,59777,750,1572,435,344,1081,1369,529,3983,887,66,539,92,1076,114372,371,129553,47476,586,493,220,24,439,2963
SRR24907950,controle,565,734,557,3874,95,1409,39,1014,67,6889,10467,1366,5097,1678,492,402,991,3720,524,490,894,739,6257,2926,74057,21110,65319,5334,333363,20678,250992,4620,42161,4351,5694,2137,1088,3259,5081,3818,2398,163257,918,4641,49458,4238,2296,1637,30452,553,1797,13259,1814,2790,1524,10139,3138,5533,28756,1337,89579,10874,1264,2424,2086,1184,2192,16068,741,9960,4035,2765,13260,19016,262,3179,802,4605,5345,599,280,4450,55192,2702,17051,3295,3291,20452,4755,3338,12,159,3984,97,807,142,1430,347,393,2380,650,1415,44554,3029,1580,2289,14809,2384,928,22206,18952,2309,1273,58,2667,575,1091,552,341,273,42,505,6247,8365,199,311,2296,245,5251,1428,185,1921,16569,31,321988,135509,3010,13207,332622,56801,53400,3890,180976,140462,872,2814,709987,7570,5484,67844,3412,2591,5864,27043,111108,2988,4783,1398,1134,1335573,1729,5273,1396,695,45,501,69,526,48,390,533,8757,818,11545564,570,60,15645,801
SRR6784524,controle,13084,12068,17036,169572,26192,20401,1241,29020,2523,2451911,8762,83507,906292,30782,2803,6351,33406,557816,14913,93768,311528,6123,893759,191629,579490,2673116,206151,5576,1315517,15164,1890074,8534,38956,631,104891,20127,5138,12724,4519,7325,7535,42967,8543,3503526,78167,8143,684,8738,122399,4281,1569,479,3362,1695,1291,2525,1301,1688649,96157,3324,140873,3889,905,647,156,302,810,53529,601,15811,22028,3902,18853,234466,72368,25586,53285,106885,308490,29906,11383,8089,850388,43551,923892,96616,37182,304811,240649,69553,1884,6708,41225,326609,775213,13151,24002,51819,67380,17896,40820,34400,407512,285185,30465,46053,2419370,96656,337999,8447769,1529970,168119,238680,100310,492505,27620,163273,52723,16294,25635,1899,3231,512544,631323,9008,217358,70811,156,19448,49095,6305,110607,452961,7503,18075,66505,2254,11981,49404,1540,20171,1963,13622,39828,1664,3721,63630,1364,2089,5129,6255,40824,4633,12653,219267,1379,1526,2216,1063,84638,14333,39686,378433,49156,32573,35087,11273,72656,6229,3453,45466,269674,28646,26449,127979,8824,146815,124865
SRR8556973,controle,584,15812,334770,554556,68252,120255,45,489,121,1831,346,305,1536,810,89,175,208,7715,6,15271,47741,99,31888,5354,71817,15174,77884,815,59687,1280,534817,998,5006,274,1502,2219,401,170,1508,1159,239,717497,578,2217,33570,821,380,281,25691,952,4923,854,4214,881,3047,489,973,3665,8910,513,57657,2749,306,285,285,450,531,7951,137,1838,821,310,27748,21403,1686,3841,2789,9222,11503,627,2050,1259,25988,443,74546,38305,382,5921,2658,1731,416,513,5046,4216,7286,1645,1339,1575,6363,168,1152,2939,16768,19628,2060,100950,120055,4894,10605,251709,96405,1869,18849,23033,33795,28463,49964,778,847,4301,10384,41283,59144,36513,232,3875,41094,15,459,1379,498,2802,95324,2563,30356,20674,306,1402,31037,3367,8501,547,435,230715,856,110,44982,358,1147,3904,1067,2117,2959,15254,236589,6776,10583,2747,2379,1938,113565,197039,2476,5875,1938,20195,2314,35515,51928,263,42809,19345,724,450,15350,3501,7171,4167
SRR24908049,controle,20748,8256,47029,76577,6935,18425,5279,9365,1165,73017,1525,13784,3554,29888,5889,1145,9599,22687,1697,3202,5769,474,16083,9309,79824,162404,21801,2372,129040,88650,318353,1411,8238,638,3637,220286,13706,26294,2252,2873,682,13012,287,2380,46378,3754,1760,2110,25375,571,1357,2836,1317,2673,482,1556,2670,9638,21738,919,77781,8315,1027,1111,981,1486,2016,9438,684,8924,1738,1267,2287,13106,621,2264,1256,3087,8556,1005,22505,2069,23697,6114,50365,59193,950,39578,2415,19202,5462,5175,705,5107,2643,2094,14463,925,2332,434,851,1557,6993,8298,987,64170,13194,1945,1196,30472,18221,1493,2954,3016,7380,3895,7703,817,770,8881,7487,38020,28180,46080,9989,845,1849,1349,7826,8063,688,5249,61666,1407,1588,5283,866,10359,7613,443,1001,462,897,37967,394,1365,127807,1493,2401,11945,30474,2451,1839,6930,30983,458,977,328,362,2842,10595,23364,4107,13467,2070,7093,881,14606,17304,8136,15332,31392,1207,2051,3486,922,2067,2121
SRR24907984,controle,10146,119870,42959,116314,8311,32053,90459,164634,18260,595737,39436,51181,86070,137874,21583,2171,21110,136572,5599,64326,52784,25186,101279,514647,117425,425093,76584,12041,439647,16033,516764,8895,25395,2451,93477,4105,1980,3349,150144,24321,15256,15245,782,16762,49262,3668,2264,3088,63026,2242,1774,8011,3434,6988,2030,5408,6679,16119,41957,838,157127,24483,1852,2380,1467,1719,4792,28297,2992,8764,23621,17905,3133,45775,7525,8157,8346,45341,37521,22823,10365,5628,369728,250181,371383,346711,46193,1259331,23200,150096,3049,2312,15477,44446,24300,94874,5365,8052,22856,35729,4989,2645,39208,55366,199996,349518,117315,10092,26347,325427,448775,31669,100146,43842,81717,26829,146163,5136,23358,279329,4118,57543,186095,503005,3948,5023,6142,10691,62258,130596,36183,15579,1541765,11023,61521,49697,4602,3017,37566,5097,17986,3078,512034,155410,10602,5926,417225,5920,4383,38587,2897,344413,5590,23333,143453,4255,6902,1805,1981,289586,76174,100042,122967,16129,4049,102002,11404,66047,63605,3319,112862,123658,20195,3182349,23137,7302,36734,11598
SRR6784591,controle,3545,738656,81139,151385,17997,60437,51034,116138,21424,809607,738624,293310,48577,401217,51656,31503,26719,399459,22057,11488,4491,11223,132331,1053106,395856,138668,340998,7367,1933941,11614,3691825,18426,91221,6021,55367,918962,58453,105622,11476,29839,16754,142667,2403,256515,140002,3180,1912,27150,334208,2836,9190,4287,10045,92021,10308,12893,79216,172911,131457,12223,2369373,347595,31215,25272,18511,25214,45616,86049,1573,21808,182045,96851,20861,13397,4902,6305,7216,13860,22810,173569,4177,55442,282144,219700,145053,168927,22182,2284090,48258,65143,497,854,254833,6500,25882,11247,98560,5525,10142,36737,8560,9651,147266,258856,39052,67727,446263,42486,70091,1049270,787941,81149,62569,73797,70498,222422,306015,15046,30568,4536,589,2671,68664,86263,6700,10725,6086,18830,116826,527388,37177,40639,4362741,34150,560501,313106,15042,12448,526248,55951,141992,12596,659448,246375,6452,13842,197306,884,1822,36446,188948,14148,8172,40548,389586,9824,8996,2507,2276,1050731,86897,138494,12700,11415,6034,53314,7936,46592,60665,3278,97286,505286,22749,67770,106187,40871,32571,32993
SRR24907983,controle,67895,11422,257833,430517,48415,73694,85,2297,365,221766,16440,8189,19204,53748,14587,1760,20878,54297,1838,22728,37727,3899,70112,27126,115383,247022,107573,8753,665862,40849,835099,8436,133077,16053,22877,4341,864,5694,7528,11412,7435,31808,1682,9507,63716,3869,1919,11202,83580,1990,2811,16812,7611,19794,13699,19807,12123,327148,108239,3862,257895,51991,4083,3513,1991,2456,8041,31759,1648,13020,118198,73710,3772,17617,2372,3510,17570,8383,21424,2002,89704,7316,215452,6685,201266,51517,4321,87100,12613,97924,26407,20041,2859,16753,20161,2362,2252,3388,8119,12822,4667,2991,46896,18812,4771,92299,95193,1940,22413,436000,127249,6316,25248,31049,146968,7501,37197,3630,2678,115463,5548,42373,107317,203827,23310,4950,4602,6586,43688,39814,13920,6340,80211,1267,107611,90872,3800,3991,57271,6447,28879,3889,2081960,160966,58961,16251,760337,7499,7775,70342,5002,345435,7706,47472,145160,2392,4880,1332,1315,1966998,17390,19265,20945,10797,2491,49352,6157,17918,14304,976,24400,19000,5251,8975399,22390,1139,29002,8236
SRR24907892,controle,8914,1348,34108,64612,5357,41737,144940,220582,24364,200971,16839,3316,7549,69600,9571,2022,39760,60211,1500,9279,33902,650,23393,9968,204935,33921,113827,7188,324648,5902,161904,13370,43284,4641,40082,2887,746,743,2487,8360,4044,16960,452,8286,24061,417,416,8806,44157,586,937,6433,8297,2283,6926,3590,919,116373,55223,2725,36044,4054,559,504,270,310,797,13028,577,6392,2006,1031,2689,25646,1047,1754,2194,5360,15414,521,5547,804,175933,1090,47175,4827,1047,15171,4184,24277,1727,1333,1697,4336,4740,1155,5114,1326,5286,3046,1047,3219,26816,20358,3053,63894,45711,6432,6754,100049,67869,2161,7672,8378,13427,13319,25784,928,838,12285,7020,36363,41228,66552,1833,1801,1848,3388,18251,6021,1838,23972,46618,2171,29944,22651,1729,1462,20217,4020,6928,1593,2708,334745,327308,29430,297234,3621,5410,35582,3304,208326,6650,33155,322894,13885,21674,5817,5617,7062,82106,202089,22239,4873,1131,6597,1054,22624,40778,42018,1916,142508,1786,3459,10257,3051,3152,2930
SRR24908007,controle,451,801,33049,56525,5388,13106,201,930,114,114697,4677,3270,48522,1336,278,282,1863,23371,1377,6200,9752,5874,12935,3865,276833,15389,158386,1054,402502,2467,507161,4293,57271,7703,67235,2904,832,2513,2273,10004,6025,22294,889,12962,86437,7207,3850,19472,57918,1097,1972,3623,12930,5130,10828,2397,4395,453218,20457,562,120286,16104,2437,1775,1257,1341,3388,21084,1162,4298,1933,991,5192,24875,510,554,1490,4207,14720,203,651,3116,20167,776,21902,2872,1462,8263,2100,5989,56,55,501,225,1248,279,483,374,1080,604,2529,3559,30105,1981,956,13370,8766,189,867,36719,10645,2038,9606,111,1420,431,776,762,271,45626,227,6855,27681,14175,560,3264,1524,0,7040,1521,174,5304,5856,85,70116,51466,2117,1972,53514,5763,19754,4675,1939,522703,1410,10204,89601,1226,4057,13844,5208,2627,6495,27875,442667,25937,37156,10340,8630,4666,1059,3527,1570,1325,218,2758,287,905,4623,5461,851,21687,442,2811,488,7,939,1256
ERR912079,controle,9474,14538,7883,10589,739,3877,335917,443887,55069,109285,59600,3956,11744,14374,1703,3771,59534,1962283,986,5377,7097,4214,75419,399530,90240,201447,321342,40045,244486,1673577,476727,8285,176517,10463,29084,5981,215,166,2811,8108,1259,24305,332,5599,174471,3546,1810,1491,124697,438,2388,5580,1356,333,1134,5047,323,9084,51562,494,54861,616,67,54,140,88,172,41720,767,13879,4884,2055,13668,19098,1906,3355,8723,11834,14673,29206,6533,365,675153,47070,149519,79959,5636,1683905,20033,1848513,1566,3110,7944,3503,32357,28359,2616,6306,70253,32518,4012,7337,124531,62116,796906,25790,279652,12727,29407,958208,1242727,52027,29305,1873,19640,4515,15515,6375,21144,10830,1116,6833,57084,60436,8935,4824,4976,14609,61034,343059,31483,28071,979696,3046,12826,65137,3749,2716,13207,2679,30127,1771,49793,268670,129820,6163,600459,2550,2118,24395,3275,16682,3062,61941,349661,2111,2549,917,719,164722,2388,2601,7737,6322,1658,10036,4137,23070,72624,2297,5720,45671,18908,1024942,6505,3163,10113,14290
SRR24907871,controle,31626,106786,522197,609810,73798,126160,183613,250265,32524,695470,57484,129400,59375,14075,3521,7623,172380,145690,12182,6437,8436,1808,79364,379307,253650,105691,202557,2043,669835,9494,1315768,14029,113509,13398,227666,6458,3180,1204,7331,8499,6563,40924,297,38131,177472,10895,6600,4549,109469,5392,5877,2372,15890,17355,17680,2125,16455,37444,112657,4515,290093,47457,3972,4314,3473,4937,10214,103984,7513,14685,9583,2478,21316,27632,3818,2898,4715,15967,23241,4490,33975,8700,142420,7475,134926,22459,16097,189709,22837,55296,8177,6220,8757,8066,6974,12427,2482,2882,4319,6953,8098,3663,58679,113039,14022,65915,188708,30061,33070,439414,360773,18789,97577,46420,78835,58113,134160,4679,9554,27058,1137,5072,175325,120115,14355,3267,6907,19181,88596,69756,4078,27214,750700,13628,159998,43596,9747,11852,271546,25200,33947,3269,4468,683294,2868,20421,50352,385,3915,8685,3944,6896,9051,28448,594253,39486,43930,12623,8709,7733,12694,14278,31871,4697,1442,21381,2301,13471,23809,10320,35266,76652,12565,4116,46940,24129,17699,10254
SRR24907957,controle,17326,3277,10433,22186,1746,7538,130,1769,281,115017,728,32732,12696,33831,7781,508,4327,29884,4731,14751,9239,924,12869,28937,134421,73650,132609,888,444478,3148,408881,4919,39454,4951,3450,4282,510,659,4034,2863,2238,14672,612,2973,81853,7584,3963,1883,42209,1039,2894,1531,9153,5351,7924,2380,5383,6610,102872,5109,126865,17527,2215,2440,1048,2376,4032,23587,2336,4692,2416,888,1163,10988,1429,1776,1309,4096,5502,521,18779,3010,23400,1254,50452,10431,2428,37124,2082,18807,5271,3580,1818,1457,2253,631,502,708,1169,2024,1334,1541,45078,3461,696,9597,13011,703,4296,26784,14103,3018,3081,2475,8892,578,3855,621,1093,56247,657,10453,15615,37052,4767,1075,1128,1595,8830,8573,1622,3696,38087,118,201030,133082,2356,2253,60514,7962,44909,4581,1685,369822,1144,8793,35488,534,1554,6321,3333,2002,4876,18545,327904,19506,29605,10243,5122,4139,12981,25290,17793,2043,479,12430,1321,9193,5882,4918,4776,32928,814,1919,1785,65,1884,1426
SRR24907906,controle,12778,23383,30752,59408,5244,14204,73384,89897,14325,343329,1453,30894,139259,39313,9899,1325,6077,69799,3854,2304,11499,582,33287,7928,92309,28274,84489,647,296703,9703,403615,3867,4350,43,2858,2432,565,256,2109,2489,1553,45195,453,2744,61540,3409,2498,1962,38130,2100,2328,1164,5503,5838,5861,629,6233,4878,32127,2002,158044,22693,2235,3620,1830,3129,4452,31563,3149,6970,4284,967,2388,82824,3378,2426,3399,15767,48935,1145,12510,6033,28935,1980,79721,3302,2908,20927,6534,18959,3739,2837,1153,2630,5704,2112,4225,1601,11547,1598,3295,4381,20866,34545,5590,10805,60336,2726,18724,136596,76153,4133,40746,11621,14136,22970,42120,1776,3258,13999,225,2547,74135,38575,3349,2732,1979,17,2495,5331,605,7591,117479,3590,568,6055,1405,957,6997,908,1138,1075,1005,230210,1399,5019,24879,438,2082,6744,1158,1646,3423,12758,223690,10838,15402,4056,3475,22299,9784,25435,29283,2871,675,3859,553,7089,29368,1535,47578,35761,2932,29827,17758,6205,5034,5725
SRR6784406,controle,102138,9009,442402,1009324,83514,316598,3485,18140,4974,772378,7917,148978,119750,632498,80519,7958,24947,353013,13593,51532,200592,47583,161302,75721,720442,360921,1235296,37531,3188172,70953,11055224,58516,1475532,146257,1253989,38301,7414,2621,42143,67711,38657,853973,10068,126507,998724,84344,35296,35616,513243,4584,29880,17722,58506,54642,65139,10118,104903,71639,2584461,73444,2355880,295688,18713,30613,13944,43666,37562,244488,16232,57220,22026,5010,27921,40243,29382,15609,14891,28792,47783,46089,151324,65506,355735,8427,458599,367630,31651,694918,58548,530194,30739,41985,16411,38873,107664,7288,10543,21386,30232,21131,4665,32143,185445,90475,17950,392920,151896,13412,30388,433935,210160,33967,29772,30381,53037,75236,106887,7001,11165,179043,4952,42285,229806,922587,52261,26499,22423,40295,199532,120827,15223,29009,262833,11202,685911,269961,22851,67120,1350391,97046,187744,6772,13313,2769516,10547,72112,612526,4455,7262,87363,29467,18999,32964,255853,3019460,100125,148305,48447,82895,69029,1652029,809950,64472,146157,24426,93431,15687,1009362,30450,49083,14465,152627,4385,131676,38958,16380,15960,29925
SRR8557024,controle,1466,1094,72309,141390,13760,34985,74,1344,129,162258,10806,35483,11062,32049,6792,1376,17630,27385,779,6697,8868,4176,28252,46488,27625,10576,82192,818,97669,1684,311786,1746,18296,1104,3189,1566,618,222,15981,2047,954,5383,173,4342,31134,704,709,4673,40334,486,1275,993,3344,985,2660,517,1351,195616,18980,414,79118,4024,490,489,204,522,765,21176,659,1703,2060,949,2107,12200,1258,2519,2371,6242,10557,2060,2250,1025,30937,27511,64564,17680,6461,108902,3205,22317,342,347,1112,6820,6511,5297,1099,1528,4402,3689,1522,1520,10674,25342,3227,44206,58242,1438,6801,157439,81862,3524,15601,18051,12971,35853,54787,1011,1783,51469,470,15423,64524,58476,880,1968,1515,1477,7351,15375,7577,3394,180450,3298,25805,12239,880,1115,30106,3213,6850,325,736,220571,707,1021,49362,364,514,4266,39212,3498,2069,15594,214971,6057,8354,2271,2525,1914,28186,46326,12953,3729,877,17732,1749,11104,627,1448,1234,35620,1559,551,16716,4563,2963,2489
